Time,Alloy,Scenario,Values
1931.0,Wrought,Scenario3,0.0
1931.0,Wrought,Scenario4,0.0
1931.0,Primary castings,Baseline,0.0
1931.0,Primary castings,Scenario1,0.0
1931.0,Primary castings,Scenario2,0.0
1931.0,Primary castings,Scenario3,0.0
1931.0,Primary castings,Scenario4,0.0
1931.0,Secondary castings,Baseline,0.0
1931.0,Secondary castings,Scenario1,0.0
1931.0,Secondary castings,Scenario2,0.0
1931.0,Secondary castings,Scenario3,0.0
1931.0,Secondary castings,Scenario4,0.0
1932.0,Wrought,Baseline,0.0
1932.0,Wrought,Scenario1,0.0
1932.0,Wrought,Scenario2,0.0
1932.0,Wrought,Scenario3,0.0
1932.0,Wrought,Scenario4,0.0
1932.0,Primary castings,Baseline,0.0
1932.0,Primary castings,Scenario1,0.0
1932.0,Primary castings,Scenario2,0.0
1932.0,Primary castings,Scenario3,0.0
1932.0,Primary castings,Scenario4,0.0
1932.0,Secondary castings,Baseline,0.0
1932.0,Secondary castings,Scenario1,0.0
1932.0,Secondary castings,Scenario2,0.0
1932.0,Secondary castings,Scenario3,0.0
1932.0,Secondary castings,Scenario4,0.0
1933.0,Wrought,Baseline,0.0
1933.0,Wrought,Scenario1,0.0
1933.0,Wrought,Scenario2,0.0
1933.0,Wrought,Scenario3,0.0
1933.0,Wrought,Scenario4,0.0
1933.0,Primary castings,Baseline,0.0
1933.0,Primary castings,Scenario1,0.0
1933.0,Primary castings,Scenario2,0.0
1933.0,Primary castings,Scenario3,0.0
1933.0,Primary castings,Scenario4,0.0
1933.0,Secondary castings,Baseline,0.0
1933.0,Secondary castings,Scenario1,0.0
1933.0,Secondary castings,Scenario2,0.0
1933.0,Secondary castings,Scenario3,0.0
1933.0,Secondary castings,Scenario4,0.0
1934.0,Wrought,Baseline,0.0
1934.0,Wrought,Scenario1,0.0
1934.0,Wrought,Scenario2,0.0
1934.0,Wrought,Scenario3,0.0
1934.0,Wrought,Scenario4,0.0
1934.0,Primary castings,Baseline,0.0
1934.0,Primary castings,Scenario1,0.0
1934.0,Primary castings,Scenario2,0.0
1934.0,Primary castings,Scenario3,0.0
1934.0,Primary castings,Scenario4,0.0
1934.0,Secondary castings,Baseline,0.0
1934.0,Secondary castings,Scenario1,0.0
1934.0,Secondary castings,Scenario2,0.0
1934.0,Secondary castings,Scenario3,0.0
1934.0,Secondary castings,Scenario4,0.0
1935.0,Wrought,Baseline,0.0
1935.0,Wrought,Scenario1,0.0
1935.0,Wrought,Scenario2,0.0
1935.0,Wrought,Scenario3,0.0
1935.0,Wrought,Scenario4,0.0
1935.0,Primary castings,Baseline,0.0
1935.0,Primary castings,Scenario1,0.0
1935.0,Primary castings,Scenario2,0.0
1935.0,Primary castings,Scenario3,0.0
1935.0,Primary castings,Scenario4,0.0
1935.0,Secondary castings,Baseline,0.0
1935.0,Secondary castings,Scenario1,0.0
1935.0,Secondary castings,Scenario2,0.0
1935.0,Secondary castings,Scenario3,0.0
1935.0,Secondary castings,Scenario4,0.0
1936.0,Wrought,Baseline,0.0
1936.0,Wrought,Scenario1,0.0
1936.0,Wrought,Scenario2,0.0
1936.0,Wrought,Scenario3,0.0
1936.0,Wrought,Scenario4,0.0
1936.0,Primary castings,Baseline,0.0
1936.0,Primary castings,Scenario1,0.0
1936.0,Primary castings,Scenario2,0.0
1936.0,Primary castings,Scenario3,0.0
1936.0,Primary castings,Scenario4,0.0
1936.0,Secondary castings,Baseline,0.0
1936.0,Secondary castings,Scenario1,0.0
1936.0,Secondary castings,Scenario2,0.0
1936.0,Secondary castings,Scenario3,0.0
1936.0,Secondary castings,Scenario4,0.0
1937.0,Wrought,Baseline,0.0
1937.0,Wrought,Scenario1,0.0
1937.0,Wrought,Scenario2,0.0
1937.0,Wrought,Scenario3,0.0
1937.0,Wrought,Scenario4,0.0
1937.0,Primary castings,Baseline,0.0
1937.0,Primary castings,Scenario1,0.0
1937.0,Primary castings,Scenario2,0.0
1937.0,Primary castings,Scenario3,0.0
1937.0,Primary castings,Scenario4,0.0
1937.0,Secondary castings,Baseline,0.0
1937.0,Secondary castings,Scenario1,0.0
1937.0,Secondary castings,Scenario2,0.0
1937.0,Secondary castings,Scenario3,0.0
1937.0,Secondary castings,Scenario4,0.0
1938.0,Wrought,Baseline,0.0
1938.0,Wrought,Scenario1,0.0
1938.0,Wrought,Scenario2,0.0
1938.0,Wrought,Scenario3,0.0
1938.0,Wrought,Scenario4,0.0
1938.0,Primary castings,Baseline,0.0
1938.0,Primary castings,Scenario1,0.0
1938.0,Primary castings,Scenario2,0.0
1938.0,Primary castings,Scenario3,0.0
1938.0,Primary castings,Scenario4,0.0
1938.0,Secondary castings,Baseline,0.0
1938.0,Secondary castings,Scenario1,0.0
1938.0,Secondary castings,Scenario2,0.0
1938.0,Secondary castings,Scenario3,0.0
1938.0,Secondary castings,Scenario4,0.0
1939.0,Wrought,Baseline,0.0
1939.0,Wrought,Scenario1,0.0
1939.0,Wrought,Scenario2,0.0
1939.0,Wrought,Scenario3,0.0
1939.0,Wrought,Scenario4,0.0
1939.0,Primary castings,Baseline,0.0
1939.0,Primary castings,Scenario1,0.0
1939.0,Primary castings,Scenario2,0.0
1939.0,Primary castings,Scenario3,0.0
1939.0,Primary castings,Scenario4,0.0
1939.0,Secondary castings,Baseline,0.0
1939.0,Secondary castings,Scenario1,0.0
1939.0,Secondary castings,Scenario2,0.0
1939.0,Secondary castings,Scenario3,0.0
1939.0,Secondary castings,Scenario4,0.0
1940.0,Wrought,Baseline,0.0
1940.0,Wrought,Scenario1,0.0
1940.0,Wrought,Scenario2,0.0
1940.0,Wrought,Scenario3,0.0
1940.0,Wrought,Scenario4,0.0
1940.0,Primary castings,Baseline,0.0
1940.0,Primary castings,Scenario1,0.0
1940.0,Primary castings,Scenario2,0.0
1940.0,Primary castings,Scenario3,0.0
1940.0,Primary castings,Scenario4,0.0
1940.0,Secondary castings,Baseline,0.0
1940.0,Secondary castings,Scenario1,0.0
1940.0,Secondary castings,Scenario2,0.0
1940.0,Secondary castings,Scenario3,0.0
1940.0,Secondary castings,Scenario4,0.0
1941.0,Wrought,Baseline,0.0
1941.0,Wrought,Scenario1,0.0
1941.0,Wrought,Scenario2,0.0
1941.0,Wrought,Scenario3,0.0
1941.0,Wrought,Scenario4,0.0
1941.0,Primary castings,Baseline,0.0
1941.0,Primary castings,Scenario1,0.0
1941.0,Primary castings,Scenario2,0.0
1941.0,Primary castings,Scenario3,0.0
1941.0,Primary castings,Scenario4,0.0
1941.0,Secondary castings,Baseline,0.0
1941.0,Secondary castings,Scenario1,0.0
1941.0,Secondary castings,Scenario2,0.0
1941.0,Secondary castings,Scenario3,0.0
1941.0,Secondary castings,Scenario4,0.0
1942.0,Wrought,Baseline,0.0
1942.0,Wrought,Scenario1,0.0
1942.0,Wrought,Scenario2,0.0
1942.0,Wrought,Scenario3,0.0
1942.0,Wrought,Scenario4,0.0
1942.0,Primary castings,Baseline,0.0
1942.0,Primary castings,Scenario1,0.0
1942.0,Primary castings,Scenario2,0.0
